EmployeeNo,Attrition,JobRole,Department,Education,Age,YearsSinceLastPromotion,MonthlyIncome,JobSatisfaction,PerformanceRating
1,Yes,Sales Executive,Sales,Some university,41,0,5993,4,3
2,No,Research Scientist,Research & Development,High school or below,49,1,5130,2,4
4,Yes,Laboratory Technician,Research & Development,Some university,37,0,2090,3,3
5,No,Research Scientist,Research & Development,Master's,33,3,2909,3,3
7,No,Laboratory Technician,Research & Development,High school or below,27,2,3468,2,3
8,No,Laboratory Technician,Research & Development,Some university,32,3,3068,4,3
10,No,Laboratory Technician,Research & Development,Bachelor's,59,0,2670,1,4
11,No,Laboratory Technician,Research & Development,High school or below,30,0,2693,3,4
12,No,Manufacturing Director,Research & Development,Bachelor's,38,1,9526,3,4
13,No,Healthcare Representative,Research & Development,Bachelor's,36,7,5237,3,3
14,No,Laboratory Technician,Research & Development,Bachelor's,35,0,2426,2,3
15,No,Laboratory Technician,Research & Development,Some university,29,0,4193,3,3
16,No,Research Scientist,Research & Development,High school or below,31,4,2911,3,3
18,No,Laboratory Technician,Research & Development,Some university,34,1,2661,4,3
19,Yes,Laboratory Technician,Research & Development,Bachelor's,28,0,2028,3,3
20,No,Manufacturing Director,Research & Development,Master's,29,8,9980,1,3
21,No,Research Scientist,Research & Development,Some university,32,0,3298,2,3
22,No,Laboratory Technician,Research & Development,Some university,22,0,2935,4,3
23,No,Manager,Sales,Master's,53,3,15427,4,3
24,No,Research Scientist,Research & Development,Bachelor's,38,1,3944,4,3
26,No,Manufacturing Director,Research & Development,Some university,24,1,4011,3,3
27,Yes,Sales Representative,Sales,Master's,36,0,3407,1,4
28,No,Research Director,Research & Development,Master's,34,2,11994,2,3
30,No,Research Scientist,Research & Development,Some university,21,0,1232,4,3
31,Yes,Research Scientist,Research & Development,High school or below,34,1,2960,1,3
32,No,Manager,Research & Development,Bachelor's,53,4,19094,3,3
33,Yes,Research Scientist,Research & Development,High school or below,32,6,3919,1,4
35,No,Sales Executive,Sales,Master's,42,4,6825,2,3
36,No,Healthcare Representative,Research & Development,Master's,44,5,10248,4,3
38,No,Manager,Sales,Master's,46,2,18947,1,3
